environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 280
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20599
Free Parameters: {'V': 12271, 'W': 8022, 'T': 306}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
--------------------------------------------------------------------------------
0       0.00            0.70            2.50            46.33           
1       0.00            0.84            3.00            44.49           
2       0.00            1.10            3.50            43.88           
3       0.00            0.57            2.00            44.09           
4       0.00            0.62            2.50            43.97           
5       0.00            0.33            1.50            44.51           
6       0.00            0.54            2.50            45.68           
7       0.00            0.88            2.50            44.20           
8       0.00            1.23            3.00            43.42           
9       0.00            0.89            3.00            44.30           
10      0.00            1.41            3.50            43.93           
11      0.00            0.80            3.00            44.53           
12      0.00            0.85            2.50            44.63           
13      0.00            1.67            4.00            42.89           
14      0.00            0.94            2.50            43.15           
15      0.00            1.14            2.50            42.91           
16      0.00            0.57            2.50            43.51           
17      0.00            1.77            3.50            42.95           
18      0.00            1.74            4.00            42.62           
19      0.00            1.08            3.50            43.24           
20      0.00            0.63            2.50            43.48           
21      0.00            1.84            4.00            42.59           
22      0.00            0.69            2.00            43.60           
23      0.50            2.19            4.50            42.59           
24      0.00            2.12            4.50            42.85           
25      0.00            1.33            4.00            43.25           
26      0.00            1.78            3.50            42.84           
27      0.00            0.83            3.00            43.47           
28      0.00            1.08            3.00            43.23           
29      0.00            1.35            3.00            43.06           
30      0.00            1.34            4.50            43.27           
31      0.00            0.98            3.00            43.05           
32      0.00            1.96            5.00            42.71           
33      0.00            2.13            4.00            42.39           
34      0.00            1.17            3.00            42.84           
35      0.00            0.86            3.00            43.41           
36      0.00            1.21            2.50            43.17           
37      0.00            1.08            3.00            43.57           
38      0.50            1.83            4.50            43.13           
39      0.00            1.39            4.50            43.24           
40      0.00            1.10            3.00            43.31           
41      0.00            1.71            4.00            43.16           
42      0.50            2.38            5.00            42.40           
43      0.00            1.22            3.00            43.03           
44      0.00            1.22            3.50            43.15           
45      0.00            2.58            5.00            42.28           
46      0.50            2.46            4.50            42.62           
47      0.00            1.31            3.50            43.12           
48      0.00            1.71            3.50            43.13           
49      0.00            2.34            5.00            42.76           
50      0.50            2.48            5.50            42.45           
51      0.50            2.53            4.50            42.32           
52      0.00            1.92            4.50            42.85           
53      0.00            1.46            4.50            43.16           
54      0.50            2.76            5.50            42.51           
55      0.00            1.46            4.00            43.00           
56      0.00            1.92            5.00            42.77           
57      0.00            1.91            4.50            43.14           
58      0.00            1.94            5.00            42.91           
59      0.00            1.62            3.50            43.28           
60      0.00            1.47            3.50            43.27           
61      0.50            2.17            4.50            42.71           
62      0.00            1.98            4.50            43.15           
63      0.00            1.16            3.50            43.80           
64      1.00            3.41            6.00            41.88           
65      0.00            2.05            4.00            42.99           
66      0.00            2.20            5.00            43.18           
67      0.00            2.12            4.50            43.34           
68      0.00            2.44            4.50            42.87           
69      0.50            2.42            5.50            42.43           
70      1.00            3.69            6.00            41.72           
71      0.00            1.46            4.50            43.31           
72      0.00            2.11            4.50            42.92           
73      1.00            3.43            5.50            41.76           
74      0.50            2.33            4.50            42.29           
75      0.00            1.46            4.00            43.23           
76      0.50            2.60            5.00            42.48           
77      1.00            3.10            5.50            42.33           
78      0.50            2.41            5.50            42.65           
79      0.50            3.06            5.00            42.27           
80      0.00            2.37            5.00            42.68           
81      0.50            3.12            6.00            41.98           
82      0.00            1.09            3.50            43.41           
83      0.50            1.99            3.50            42.88           
84      0.50            2.17            5.00            42.85           
85      0.00            2.25            5.00            42.94           
86      0.50            2.98            5.50            42.05           
87      0.00            2.18            4.50            42.58           
88      0.50            3.09            5.50            41.87           
89      0.50            2.59            5.00            42.35           
90      0.50            2.71            5.00            42.54           
91      0.50            2.01            4.00            42.60           
92      1.50            3.43            5.50            41.98           
93      0.00            2.23            5.00            42.73           
94      0.50            2.39            6.00            42.35           
95      1.00            2.67            5.00            42.39           
96      1.00            3.18            5.50            42.26           
97      0.50            2.99            6.00            42.49           
98      1.00            3.12            5.50            42.66           
99      0.00            1.82            4.00            43.17           
100     0.50            3.07            5.50            42.68           
101     0.50            3.09            6.00            42.54           
102     0.50            2.59            5.50            42.70           
103     0.00            2.56            6.00            42.95           
104     1.00            2.63            4.00            42.82           
105     0.00            2.29            5.00            43.15           
106     0.00            2.30            4.50            42.61           
107     0.00            2.07            4.50            42.98           
108     0.50            3.46            5.50            42.15           
109     0.00            1.40            3.50            43.39           
110     0.50            2.67            5.00            42.70           
111     0.00            1.30            4.00            43.49           
