environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 580
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20670
Free Parameters: {'V': 12347, 'W': 8006, 'T': 317}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
--------------------------------------------------------------------------------
0       0.00            0.19            1.50            46.82           
1       0.00            0.05            1.00            44.88           
2       0.00            0.32            2.00            45.25           
3       0.00            0.32            1.50            45.11           
4       0.00            0.36            2.00            44.94           
5       0.00            0.18            1.50            44.77           
6       0.00            0.28            1.50            44.35           
7       0.00            0.36            1.50            44.40           
8       0.00            0.34            1.50            44.33           
9       0.00            0.34            1.50            44.22           
10      0.00            0.71            2.00            43.90           
11      0.00            0.36            1.50            44.58           
12      0.00            0.47            1.50            44.35           
13      0.00            0.21            1.50            44.40           
14      0.00            0.44            2.00            44.42           
15      0.00            0.47            1.00            44.07           
16      0.00            0.50            2.50            44.47           
17      0.00            0.51            2.50            44.27           
18      0.00            0.75            1.50            44.30           
19      0.00            0.48            2.50            44.14           
20      0.00            0.42            2.50            44.66           
21      0.00            0.19            1.50            44.42           
22      0.00            0.58            2.00            44.14           
23      0.00            0.91            3.00            44.20           
24      0.00            0.11            1.50            44.70           
25      0.00            0.31            2.00            44.40           
26      0.00            0.51            2.00            44.43           
27      0.00            0.55            2.50            44.21           
28      0.00            0.56            3.00            44.46           
29      0.00            1.09            4.00            43.82           
30      0.00            1.21            3.00            43.73           
31      0.00            0.38            1.50            44.30           
32      0.00            0.70            3.00            44.15           
33      0.00            0.67            1.50            44.09           
34      0.00            1.26            3.50            44.04           
35      0.00            0.55            2.00            44.39           
36      0.00            0.92            2.50            44.19           
37      0.00            0.89            2.00            44.51           
38      0.00            0.27            1.50            44.72           
39      0.00            0.73            2.50            44.40           
40      0.00            0.53            2.50            44.44           
41      0.00            0.51            2.00            44.31           
42      0.00            0.35            1.50            44.33           
43      0.00            1.25            2.50            43.84           
44      0.00            0.73            2.00            44.52           
45      0.00            1.11            3.00            43.94           
46      0.00            0.45            1.50            44.32           
47      0.00            1.56            3.00            43.78           
48      0.00            0.54            2.00            44.13           
49      0.00            0.61            2.50            44.44           
50      0.00            1.38            3.00            43.85           
51      0.00            0.72            2.50            44.05           
52      0.00            0.88            2.50            44.14           
53      0.00            1.01            3.00            44.16           
54      0.00            0.99            2.50            43.97           
55      0.00            1.54            4.00            43.89           
56      0.00            0.68            2.00            44.28           
57      0.00            1.04            4.00            44.52           
58      0.00            0.69            2.00            44.68           
59      0.00            1.34            3.00            43.85           
60      0.00            0.85            2.00            44.25           
61      0.00            0.73            2.50            44.33           
62      0.00            0.96            2.00            44.63           
63      0.00            0.95            2.50            44.35           
64      0.00            0.55            2.50            44.35           
65      0.00            0.48            2.00            44.44           
66      0.00            1.51            3.00            43.79           
67      0.00            1.25            3.00            43.99           
68      0.00            1.00            2.50            44.15           
69      0.00            1.24            3.00            43.99           
70      0.00            0.56            2.00            45.07           
71      0.00            1.29            3.00            44.55           
72      0.00            0.91            2.50            44.12           
73      0.00            0.91            3.00            44.08           
74      0.00            1.86            3.50            44.00           
75      0.00            1.04            3.50            44.19           
76      0.00            1.48            3.00            43.67           
77      0.00            1.46            3.50            44.29           
78      0.00            1.62            3.50            43.84           
79      0.00            1.33            4.00            44.16           
80      0.00            1.72            4.00            43.71           
81      0.00            0.78            2.00            44.72           
82      0.00            1.28            3.00            44.54           
83      0.00            1.11            3.00            44.31           
84      0.00            0.93            2.50            44.36           
85      0.00            1.75            3.50            43.81           
86      0.00            1.14            3.50            44.09           
87      0.00            0.63            2.00            44.38           
88      0.00            1.19            3.00            44.17           
89      0.00            0.77            2.00            44.65           
90      0.00            1.70            3.00            43.57           
91      0.00            1.52            4.00            43.96           
92      0.00            0.98            4.00            44.27           
93      0.00            1.23            3.00            44.20           
94      0.00            0.71            2.00            44.28           
95      0.00            0.84            2.50            44.22           
96      0.00            1.30            3.00            44.29           
97      0.00            0.66            2.00            45.37           
98      0.50            2.29            4.50            43.63           
99      0.00            2.08            4.50            43.79           
100     0.00            0.86            2.50            44.26           
101     0.00            1.46            4.50            44.06           
102     0.00            1.28            4.00            44.10           
103     0.00            1.47            3.50            44.02           
104     0.00            1.64            4.50            44.19           
105     0.00            0.80            2.50            44.35           
106     0.00            0.83            3.00            44.25           
107     0.00            1.72            3.50            43.82           
108     0.00            1.12            3.00            44.46           
109     0.00            1.34            3.50            44.22           
110     0.00            1.21            3.00            44.06           
111     0.00            1.59            4.00            44.23           
112     0.00            1.14            3.00            44.48           
113     0.00            1.75            4.50            43.87           
114     0.00            0.86            2.50            44.31           
115     0.00            1.04            3.50            44.50           
116     0.00            1.49            4.00            44.51           
117     0.00            1.00            2.50            44.43           
118     0.50            2.00            4.00            43.99           
119     0.00            1.54            3.50            44.24           
120     0.50            1.90            3.50            44.02           
121     0.00            1.81            4.00            44.22           
122     0.00            1.21            2.50            44.47           
123     0.00            1.77            3.50            44.26           
124     0.00            1.10            2.50            44.53           
125     0.00            1.15            3.00            44.54           
126     0.00            1.01            3.00            44.45           
127     0.00            2.04            4.50            44.13           
128     0.00            0.91            3.00            44.34           
129     0.00            1.94            4.00            43.97           
130     0.00            1.42            3.50            44.29           
131     0.00            2.28            4.50            43.68           
132     0.00            1.18            2.50            44.27           
133     0.00            0.86            2.50            44.73           
134     0.00            1.93            3.50            44.75           
135     0.00            0.93            2.00            44.99           
136     0.00            1.55            4.00            44.22           
137     0.00            1.56            3.50            44.43           
138     0.00            1.54            4.50            44.63           
139     0.00            1.13            3.00            44.63           
140     0.50            2.22            4.00            43.90           
141     0.00            1.61            3.50            44.17           
142     0.00            2.28            4.00            43.94           
143     0.00            1.42            4.00            44.44           
144     0.00            1.50            4.00            44.57           
145     0.50            2.16            4.00            43.97           
146     0.00            1.60            4.50            45.17           
147     0.00            1.25            3.00            44.59           
148     0.50            2.32            4.50            43.75           
149     0.00            1.31            3.50            44.64           
150     0.00            2.22            5.50            44.17           
151     0.50            2.33            4.00            44.20           
152     0.00            1.85            4.00            44.65           
153     0.00            1.12            3.00            44.59           
154     0.00            0.96            2.50            44.53           
155     0.00            1.02            3.00            44.69           
156     0.00            1.65            3.50            44.46           
157     0.50            1.75            3.50            44.21           
158     0.00            1.39            3.00            44.61           
159     0.50            2.12            4.50            44.05           
160     0.00            1.61            3.50            45.07           
161     0.50            2.09            5.50            44.31           
162     0.00            2.04            4.00            44.07           
163     0.00            1.28            3.00            44.43           
164     0.50            2.36            4.50            43.69           
165     0.00            1.47            3.50            44.27           
166     0.00            1.79            4.00            44.19           
167     0.50            1.93            4.50            44.09           
168     0.00            1.99            4.50            44.12           
169     0.50            1.83            3.50            44.29           
170     0.00            1.94            4.50            44.28           
171     0.00            1.89            4.00            44.23           
172     0.00            1.27            3.00            44.60           
173     0.00            1.07            2.50            44.60           
174     0.50            2.20            3.50            44.01           
175     1.00            2.11            3.50            43.84           
176     0.50            2.06            4.00            44.15           
177     0.50            1.46            3.00            44.27           
178     0.00            1.36            3.00            44.70           
179     0.00            2.04            4.50            44.14           
180     0.00            1.90            3.50            44.22           
181     0.50            1.14            3.00            44.65           
182     0.50            2.35            4.50            43.81           
183     0.50            2.02            4.00            44.24           
184     0.00            1.93            4.00            44.85           
185     0.00            1.19            3.00            44.83           
186     0.00            1.86            4.00            44.28           
187     0.50            1.58            4.00            44.42           
188     0.50            2.13            4.00            44.76           
189     0.00            1.40            3.50            45.32           
190     0.00            1.58            3.50            44.10           
191     0.00            1.02            2.00            44.35           
192     0.50            2.57            5.00            43.48           
193     0.50            2.42            4.50            43.44           
194     0.00            1.66            3.50            44.36           
195     0.00            1.37            3.00            44.52           
196     0.00            2.12            4.50            43.88           
197     0.00            2.30            4.50            43.90           
