environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
151     0.00            1.61            3.50            44.25           
152     0.00            1.45            3.50            44.31           
153     0.00            1.58            3.00            44.44           
154     0.00            1.46            3.00            44.80           
155     0.00            1.11            2.50            44.90           
156     0.00            1.81            3.50            44.58           
157     0.50            2.34            5.50            44.23           
158     0.50            2.33            4.50            44.21           
159     0.50            1.41            3.00            44.42           
160     0.00            1.45            3.50            44.64           
161     0.00            2.03            5.00            44.65           
162     0.00            1.96            4.00            44.67           
163     0.50            2.65            4.50            43.89           
164     0.50            1.39            3.50            44.48           
165     0.00            1.17            3.00            44.85           
166     0.50            1.96            3.50            44.26           
167     0.00            1.46            3.50            44.77           
168     0.50            1.42            3.50            44.43           
169     0.00            1.25            4.00            44.69           
170     0.50            1.71            3.50            44.50           
171     0.00            1.28            4.00            44.73           
172     0.50            2.61            5.00            43.82           
173     0.50            2.73            5.00            43.69           
174     0.00            1.81            4.00            44.39           
175     0.00            1.56            3.50            44.25           
176     0.50            2.38            4.50            43.91           
177     0.00            2.60            5.00            43.82           
178     0.00            2.00            4.00            44.37           
179     0.00            1.80            4.00            44.36           
180     0.00            2.30            4.00            43.88           
181     0.00            1.76            4.00            44.41           
182     0.50            2.02            4.00            44.29           
183     0.00            1.33            3.50            44.58           
184     0.00            2.39            5.00            44.31           
185     0.50            2.39            4.00            44.18           
186     0.00            2.01            4.00            44.47           
187     0.00            1.47            3.00            44.59           
188     0.00            1.23            3.00            45.02           
189     0.50            1.93            4.00            44.48           
190     0.50            2.28            4.50            44.32           
191     0.00            1.65            3.50            45.06           
192     0.50            1.79            3.00            44.39           
193     1.00            3.04            5.00            43.90           
194     0.50            2.38            4.50            44.36           
195     0.50            2.18            3.50            44.11           
196     0.00            1.62            4.00            44.80           
197     0.50            2.34            4.50            44.79           
198     0.50            2.00            4.50            44.18           
199     0.00            1.73            3.50            45.02           
200     0.50            1.78            4.00            44.43           
201     0.50            2.38            4.50            43.83           
202     0.50            1.96            4.50            44.57           
203     0.50            3.11            5.00            43.59           
204     0.50            2.42            4.00            44.21           
205     0.50            2.02            4.00            44.31           
206     0.00            1.37            3.00            44.79           
207     0.50            2.66            4.50            43.94           
208     0.00            2.42            4.50            44.11           
209     0.00            2.74            5.50            44.06           
210     0.00            2.28            5.00            44.52           
211     0.00            2.05            4.00            44.49           
212     0.50            2.78            4.50            44.11           
213     0.50            1.89            4.00            44.89           
214     0.00            2.46            4.50            44.24           
215     0.50            2.58            5.00            44.76           
216     0.50            2.04            4.00            44.37           
217     0.00            2.17            4.50            44.48           
218     0.00            1.12            2.50            45.11           
